time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-13T19:39:23.030Z,33.1603333,-115.9901667,9.27,2.33,ml,86,37,0.1195,0.18,ci,ci38059071,2018-09-13T20:13:07.150Z,"13km E of Ocotillo Wells, CA",earthquake,0.14,0.48,0.087,25,reviewed,ci,ci
2018-09-13T19:35:41.757Z,68.9294,-147.7413,0,1.9,ml,,,,0.74,ak,ak20252874,2018-09-13T19:40:41.980Z,"126km NW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T19:32:03.700Z,33.498,-116.7926667,3.9,0.69,ml,21,47,0.0157,0.1,ci,ci38059063,2018-09-13T19:43:10.770Z,"9km NE of Aguanga, CA",earthquake,0.17,0.31,0.113,18,reviewed,ci,ci
2018-09-13T19:29:53.180Z,37.6091667,-118.9438333,0.46,0.39,md,7,182,0.01493,0.02,nc,nc73084020,2018-09-13T20:36:45.380Z,"4km SE of Mammoth Lakes, CA",earthquake,1.28,0.35,0.152,6,reviewed,nc,nc
2018-09-13T19:26:41.728Z,64.9915,-147.2785,4.3,1.6,ml,,,,0.57,ak,ak20252871,2018-09-13T19:31:48.744Z,"24km NNE of Badger, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-09-13T19:26:11.450Z,34.21,-117.4461667,10.03,0.96,ml,26,54,0.02328,0.19,ci,ci38059055,2018-09-13T19:39:09.909Z,"4km WSW of Devore, CA",earthquake,0.31,0.5,0.102,10,reviewed,ci,ci
2018-09-13T19:22:54.100Z,19.0673332,-155.4078369,40.07,2.36,md,30,238,0.1366,0.18,hv,hv70592522,2018-09-13T19:26:18.650Z,"17km SSE of Pahala, Hawaii",earthquake,1.42,1.15,0.27,5,automatic,hv,hv
2018-09-13T19:16:31.120Z,36.5661659,-121.1578369,2.22,2.99,md,42,74,0.02738,0.07,nc,nc73084010,2018-09-13T21:24:02.198Z,"4km NNW of Pinnacles, CA",earthquake,0.19,0.42,0.13,35,automatic,nc,nc
2018-09-13T19:15:15.920Z,39.603,-121.5905,-0.16,1.66,md,7,156,0.05368,0.08,nc,nc73084015,2018-09-14T00:49:03.681Z,"10km N of Thermalito, CA",quarry blast,0.72,31.61,0.326,12,reviewed,nc,nc
2018-09-13T19:05:04.810Z,34.9951667,-118.1993333,-0.85,1.45,ml,9,127,0.1169,0.24,ci,ci38059039,2018-09-13T19:35:38.472Z,"7km SSW of Mojave, CA",quarry blast,0.82,31.61,0.117,7,reviewed,ci,ci
2018-09-13T19:02:10.491Z,69.2946,-146.7787,7.2,1.5,ml,,,,0.68,ak,ak20252859,2018-09-13T19:05:40.017Z,"122km SSE of Prudhoe Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
